"WDS";"Discov";"Comp";"Firs";"Last";"Obs";"P1";"P2";"Sep.01";"Sep.02";"Mag1";"Mag2";"Spectr";"M1RA";"M1DE";"M2RA";"M2DE";"DurNum";"Not";"Coord2000ArcSec";"Mag1Num";"Mag2Num"
"02397-5934";"DUN   7";"A,BC";1826;2016;31;110;97;35;36.7;"7.67";"7.69";"G8/K0III";"20";"-1";"20";"0";"-60  205";"Z";"023939.84-593402.9";7.67;7.69
"02422+4242";"STT  44";"AC";1894;2011;13;289;290;86.3;86.4;"8.47";"8.32";"B9Vp";"-4";"-10";"0";"-5";"";"NZ";"024213.13+424157.2";8.47;8.32
"02462+0536";"TOK 651";"AD";1991;2000;4;194;194;999.9;999.9;"7.94";"6.07";"F8+F0III";"75";"-44";"70";"-41";"";"N W";"024614.61+053533.3";7.94;6.07
"02498-2015";"HJ 3533";"";1836;2011;26;275;267;45;38;"7.56";"8.19";"K5";"19";"12";"37";"-30";"-20  524";"NL";"024947.42-201445.7";7.56;8.19
"02500+2716";"H 6   5";"AD";1821;2011;29;227;237;127.6;122.5;"3.63";"8.80";"B8Vn";"67";"-117";"28";"-15";"+26  470";"NL";"024959.03+271537.8";3.63;8.8
"02502+1343";"SHY 426";"";1991;2000;4;339;339;999.9;999.9;"8.20";"8.25";"F5+G0";"60";"-8";"58";"-7";"+13  456";"NV";"025012.98+134237.7";8.2;8.25
"02507+5554";"STF 307";"AB";1779;2012;53;290;295;26;31.4;"3.76";"8.50";"M3Ib-IIa";"16";"-14";"16";"-14";"+55  714";"N";"025041.81+555343.8";3.76;8.5
"02508-3956";"SHY 427";"AB";1991;1999;4;114;114;999.9;999.9;"6.37";"8.37";"A0V+F5V";"42";"-10";"43";"-7";"";"NV";"025047.77-395555.9";6.37;8.37
"02511+6025";"STF 306";"AG";1867;2014;17;156;159;123.7;126.2;"7.39";"8.37";"O6f";"-1";"-1";"0";"1";"";"NZ";"025107.98+602503.9";7.39;8.37
"03009+5940";"STTA 31";"";1875;2014;25;229;232;73.6;75.2;"7.33";"8.03";"B9p";"1";"-17";"-1";"-19";"+59  582";"N W";"030053.78+593957.4";7.33;8.03
"03023+4124";"WAL  20";"AC";1894;2012;13;214;211;86.2;96.5;"7.99";"8.89";"F5";"1";"107";"8";"-7";"";"NLW";"030216.79+412345.7";7.99;8.89
"03046-5119";"DUN  10";"AB";1826;1999;24;75;70;30;38.3;"7.61";"8.54";"G1V";"89";"72";"89";"73";"-51  704";"NZWV";"030433.14-511919.6";7.61;8.54
"03046-5119";"TOK 428";"AC";1903;2015;7;232;232;511.1;510.2;"7.61";"8.29";"F8V+F7V";"89";"71";"100";"68";"-51  699";"NUW";"030433.14-511919.6";7.61;8.29
"03092+0728";"STFA  6";"";1821;2015;43;163;163;81.3;81;"7.66";"7.84";"G0";"-5";"1";"-3";"3";"+06  486";"N";"030910.53+072737.5";7.66;7.84
"03093+2046";"HJL1021";"";1892;2015;16;239;239;122.4;122.3;"6.54";"8.77";"K2";"51";"-12";"53";"-11";"";"";"030920.13+204540.0";6.54;8.77
"03109-1108";"ENG  12";"AB";1894;2015;17;57;50;144.2;143.3;"7.33";"8.64";"G5";"108";"-108";"29";"18";"-11  603";"";"031051.53-110730.3";7.33;8.64
"03128-0112";"TOK 654";"AF";1991;1999;4;137;137;999.9;999.9;"5.06";"7.04";"F8V+G2V";"193";"-69";"254";"-101";"";"N";"031246.32-011145.4";5.06;7.04
"03151+1618";"ENG  13";"AB,C";1894;2012;19;180;185;175.9;172.2;"8.91";"8.50";"G0";"129";"-78";"-15";"-51";"";"NY";"031507.58+161812.9";8.91;8.5
"03158-0849";"SHY 154";"";1991;1999;4;151;151;999.9;999.9;"4.82";"6.19";"A4+F7V";"0";"46";"7";"27";"-09  624";"NV";"031550.03-084911.4";4.82;6.19
"03165-3541";"SHY 439";"AB";1991;1999;4;133;133;999.9;999.9;"7.05";"8.22";"A3V+F3V";"32";"-4";"34";"-3";"-36 1232";"NVW";"031632.72-354128.2";7.05;8.22
"03165-3541";"SHY 439";"AC";1991;1999;4;191;191;999.9;999.9;"7.05";"8.69";"A3V+F5V";"32";"-4";"37";"-5";"";"NVW";"031632.72-354128.2";7.05;8.69
"03165-3541";"SHY 439";"AD";1991;2015;4;130;130;999.9;999.9;"7.05";"7.18";"A3V+A4V";"37";"-5";"37";"-4";"";"NVW";"031632.72-354128.2";7.05;7.18
"03165-3541";"SHY 441";"BC";1991;2015;5;218;218;999.9;999.9;"8.22";"8.69";"F3V+F5V";"34";"-3";"37";"-5";"";"NVW";"031852.94-360737.5";8.22;8.69
"03174+0739";"BU 1039";"AC";1897;2005;17;37;38;156;155.7;"7.44";"7.82";"F9IV-V";"170";"-6";"167";"-8";"";"NZWV";"031726.29+073921.0";7.44;7.82
"03182-6230";"ALB   1";"AB";1751;2010;14;217;217;306;309.2;"5.30";"5.57";"G2V";"133";"65";"139";"65";"-62  265";"NV P";"031812.82-623022.9";5.3;5.57
"03194+0322";"STT 557";"AB";1853;2012;22;153;165;271.4;263.6;"4.92";"8.86";"G5Vv";"271";"94";"-21";"14";"+02  518";"NU";"031921.70+032212.7";4.92;8.86
"03201-2851";"LDS  93";"";1880;2010;20;358;358;253.4;253.1;"7.44";"8.54";"G3V";"349";"-66";"345";"-66";"-29 1231";"NZWV";"032003.58-285114.7";7.44;8.54
"03221+6244";"STTA 33";"AC";1875;2010;18;110;112;117.7;115.5;"7.73";"7.80";"F8";"30";"-28";"15";"-28";"+62  551";"";"032204.87+624429.2";7.73;7.8
"03260-3558";"SKF1280";"A,BC";1751;2010;8;164;164;151;140;"6.40";"7.34";"A1IV+A9V";"35";"-5";"34";"-5";"";"V";"032555.84-355515.2";6.4;7.34
"03311+2744";"STFA  7";"AB";1836;2015;51;233;234;44;44;"7.41";"7.81";"B9";"29";"-28";"29";"-28";"+27  514";"NZ V";"033103.47+274353.6";7.41;7.81
"03332-1003";"BU  532";"AC";1877;2007;15;310;311;80.4;80;"8.61";"7.37";"F2";"1";"-27";"-24";"-25";"-10  694";"Z";"033315.55-100335.8";8.61;7.37
"03334+2322";"STT  57";"AC";1854;2013;38;35;34;71.4;69;"7.17";"7.67";"A3+G5";"7";"-26";"-12";"-26";"";"N";"033323.73+232205.6";7.17;7.67
"03336-0725";"CLL   2";"";1893;2014;7;139;139;66.8;66.3;"7.61";"7.96";"A9IVpSr..";"-4";"8";"-6";"8";"";"VW";"033337.91-072454.1";7.61;7.96
